Resource File,Task,Alt. title,Curricular Status,Featured,Description,Language,Alignment,Educational Subject,Educational Level,Audience,Educational Use,Interactivity Type,Source,Teaches,Tags,Select,Priority,Assigned to,Accession Number,Category,All taxonomy terms,Status,Date,Updated date,Upload date,Node id
http://localhost/content/nroer/content_audio/endmdep16.ogg,Earth our home_16,,CR,0,"Episode 16 of Earth our home; covers ever changing environment, mostly deals with decomposition, decomposition by bacteria, plastic decompostion, role of microorganism in decomposition process, recycling of the nutirents between biotic and abiotic environment, carbon cycle and its importance
",English,NCF,Geography,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"environment, climate, earth, decompostion, pastic decomposition, microorganism role in decompostion, nutrient recycling, carbon use. carbon cycle",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
Audios
carbon use. carbon cycle
climate
decompostion
earth
environment
Environmental Studies
Expositive
Geography
microorganism role in decompostion
NCF
nutrient recycling
pastic decomposition
Vigyan Prasar
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Wednesday, March 18, 2015 - 8:27am","Thursday, February 12, 2015 - 11:07am",8482
http://localhost/content/nroer/content_audio/endmdep20.ogg,Earth our home_20,,CR,0,"Episode 20 of Earth our home; covers atmosphere, major characteristics of atmospheric system, composition of atmosphere, properties of environment, layers of atmosphere, wind movement, temperature variation
",English,NCF,Geography,"Upper Primary, Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"environment, gases, ozone layer, stratosphere, mesosphere, thermosphere, exosphere, temperature variation",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Audios
environment
Environmental Studies
exosphere
Expositive
gases
Geography
mesosphere
NCF
ozone layer
stratosphere
temperature variation
thermosphere
Vigyan Prasar
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 7:02am","Thursday, February 12, 2015 - 11:07am",8488
http://localhost/content/nroer/content_audio/endmdep22.ogg,Earth our home_22,,CR,0,"Episode 22 of Earth our home; covers cloud descending on earth, types of clouds, types of fogs, cloud formation, cloud forming different layers above the earth
",English,NCF,Environmental Studies,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"clouds movement, cloud types, cloud formation, types of fogs",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
Audios
cloud formation
cloud types
clouds movement
Environmental Studies
Environmental Studies
Expositive
NCF
types of fogs
Vigyan Prasar
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 7:11am","Thursday, February 12, 2015 - 11:07am",8492
http://localhost/content/nroer/content_audio/endmdep24.ogg,Earth our home_24,,CR,0,"Episode 24 of Earth our home; covers learning is life long process, water circulation in ocean, El-Nino, La-Nina, properties of liquid, circulation of heat in ocean, coral reefs
",English,NCF,Environmental Studies,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"learning never ends, water circulation in ocean, el-nino, La-Nino, coral reefs",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
Audios
coral reefs
el-nino
Environmental Studies
Environmental Studies
Expositive
La-Nino
learning never ends
NCF
Vigyan Prasar
water circulation in ocean
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 7:24am","Thursday, February 12, 2015 - 11:07am",8496
http://localhost/content/nroer/content_audio/endmdep25.ogg,Earth our home_25,,CR,0,"Episode 25 of Earth our home; covers the mystery of cyclone, types of cyclones, types of hurricanes, hurricanes formation, tropical cyclone, meaning of cyclone, importance of cyclone, damage by storm
",English,NCF,Environmental Studies,"Upper Primary, Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"cyclone mechanism, cyclone, cyclone impact, cyclone formation, storm, hurricane",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Audios
cyclone
cyclone formation
cyclone impact
cyclone mechanism
Environmental Studies
Environmental Studies
Expositive
hurricane
NCF
storm
Vigyan Prasar
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 7:27am","Thursday, February 12, 2015 - 11:07am",8498
http://localhost/content/nroer/content_audio/endmdep28.ogg,Earth our home_28,,CR,0,"Episode 28 of Earth is our home; covers Mausam mausam lovely mausam, weather, climate, factors effecting weather like wind, speed, pressure, temperature, clouds, humidity rain, surface wind, trade wind, kinds of weather
",English,NCF,Environmental Studies,"Upper Primary, Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"climate, surface wind, trade wind, weather, weather types, factors effecting weather, humidity, rain",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Audios
climate
Environmental Studies
Environmental Studies
Expositive
factors effecting weather
humidity
NCF
rain
surface wind
trade wind
Vigyan Prasar
weather
weather types
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 7:49am","Thursday, February 12, 2015 - 11:07am",8503
http://localhost/content/nroer/content_audio/endmdep29.ogg,Earth our home_29,,CR,0,"Episode 29 of Earth our home; covers forecasting the weather, tradition forecasting system, factor affecting weather forecasting like temperature humidity, weather data analysis, weather forecasting model
",English,NCF,Environmental Studies,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"weather forecasting, weather forecasting model, weather data analysis",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
Audios
Environmental Studies
Environmental Studies
Expositive
NCF
Vigyan Prasar
weather data analysis
weather forecasting
weather forecasting model
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Wednesday, July 1, 2015 - 6:03am","Thursday, February 12, 2015 - 11:07am",8506
http://localhost/content/nroer/content_audio/endmdep30.ogg,Earth our home_30,,CR,0,"Episode 30 of Earth our home; covers desired and undesired changes in weather, artificial rain, artificial rain formation process, chemicals used in artificial rain, changes in weather due to artificial rain
",English,NCF,Environmental Studies,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"weather, artificial rain, chemicals used in artificial rain",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
artificial rain
Audios
chemicals used in artificial rain
Environmental Studies
Environmental Studies
Expositive
NCF
Vigyan Prasar
weather
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Tuesday, June 30, 2015 - 8:19am","Thursday, February 12, 2015 - 11:07am",8507
http://localhost/content/nroer/content_audio/endmdep31.ogg,Earth our home_31,,CR,0,"Episode 31 of Earth our home; covers climate, climate impact on animals, factors like sun energy, earth rotation, ocean, mountains, trees and vegetation, factors effecting climate , role in climate formation
",English,NCF,Environmental Studies,"Upper Primary, Secondary, Senior Secondary",,Audios,Expositive,Vigyan Prasar,Environmental Studies,"climate, climate impact on animals, climatic factors, climate formation",,normal,NaveenGautam_MD,,task,"Upper Primary
Secondary
Senior Secondary
Audios
climate
climate formation
climate impact on animals
climatic factors
Environmental Studies
Environmental Studies
Expositive
NCF
Vigyan Prasar
HAS DETAILED INFO
English
",HAS DETAILED INFO,"Thursday, February 12, 2015 - 3:45pm","Wednesday, July 1, 2015 - 6:29am","Thursday, February 12, 2015 - 11:07am",8510
http://localhost/content/nroer/content_audio/Gandee%20Aadatein%20%28Master%29.ogg,गन्दी आदतें ,Bad Habits,CR,,"यह कार्यक्रम बच्चों में अच्छी आदतें विकसित करने पर केन्द्रित है
",Hindi,NCF,Environmental Studies,Primary,Students,Audios,Expositive,"CIET, NCERT",Environmental Studies,"formation of habits, ettiquates, moral values",,normal,Versha,,task,"Primary
Audios
Environmental Studies
Environmental Studies
ettiquates
Expositive
formation of habits
moral values
NCF
Students
CIET, NCERT
HAS DETAILED INFO
Hindi
",HAS DETAILED INFO,"Monday, February 16, 2015 - 11:30am","Tuesday, May 5, 2015 - 9:50am","Monday, February 16, 2015 - 6:03am",8692
